a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
612;6月16日;マジギライ1/5;かまいたち、天竺鼠、久保田かずのぶ（とろサーモン）、白川未奈、小島みゆ、あいな;2019年;2019-06-16;20190615 神舌 ｢真的讨厌1/5｣ ★山内;2019-06-16-190615-55806959;神舌;/home/tc/GIT/owaraisite/content/post//2019-06-16-190615-55806959.md;55806959;<a href='/post/2019-06-16-190615-55806959'>LINK</a>
613;6月22日;ネタギリッシュNIGHT チャンピオン大会;タイムマシーン3号、ザ・ギース、ジョイマン、AMEMIYA、チョコレートプラネット、プラス・マイナス、マツモトクラブ、さらば青春の光、手島優、野呂佳代、和地つかさ、神部美咲;2019年;2019-06-22;AMEMIYA 神舌荤段子冠军大赛 190622;2019-07-05-190622-57935562;神舌;/home/tc/GIT/owaraisite/content/post//2019-07-05-190622-57935562.md;57935562;<a href='/post/2019-07-05-190622-57935562'>LINK</a>
614;6月30日;ネタギリッシュNIGHT チャンピオン大会;タイムマシーン3号、ザ・ギース、ジョイマン、AMEMIYA、チョコレートプラネット、プラス・マイナス、マツモトクラブ、さらば青春の光、手島優、野呂佳代、和地つかさ、神部美咲;2019年;2019-06-30;松本俱乐部cut 神舌荤段子冠军大赛 190629;2019-07-05-190629-57831123;神舌;/home/tc/GIT/owaraisite/content/post//2019-07-05-190629-57831123.md;57831123;<a href='/post/2019-07-05-190629-57831123'>LINK</a>
615;7月7日;Truthの公式お兄ちゃんオーディション 後編;石原由希、永井すみれ、TOMOKA、銀シャリ、チョコレートプラネット、タイムマシーン3号;2019年;2019-07-07;神舌20190706 truth公式哥哥后篇;2019-10-04-190706-d12;神舌;/home/tc/GIT/owaraisite/content/post//2019-10-04-190706-d12.md;d12;<a href='/post/2019-10-04-190706-d12'>LINK</a>
616;7月14日;この若手知ってんのか!?2019;三四郎、朝日奈央、児島気奈、令和ロマン、かが屋、ティモンディ、パラダイスメン、スタンダップコーギー、空気階段、ガーリィレコードチャンネル、フワちゃん;2019年;2019-07-14;NA;NA;NA;NA;NA;NA
617;7月21日;この若手知ってんのか!?2019;三四郎、朝日奈央、児島気奈、令和ロマン、かが屋、ティモンディ、パラダイスメン、スタンダップコーギー、空気階段、ガーリィレコードチャンネル、フワちゃん;2019年;2019-07-21;NA;NA;NA;NA;NA;NA
618;7月28日;アイドル飲み姿カワイイGP7;野呂佳代、橋本梨菜、源藤アンリ、日野麻衣;2019年;2019-07-28;NA;NA;NA;NA;NA;NA
619;8月4日;このグラビアアイドル知ってんのか!? 2019;平子祐希（アルコ&ピース）、たかし（トレンディエンジェル）、朝日奈央、小林司、呂布カルマ、倉持由香葉月つばさ、菜乃花、AKO、真島なおみ;2019年;2019-08-04;NA;NA;NA;NA;NA;NA
620;8月11日;第5回腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）、野呂佳代、うしろシティ、辰巳奈都子、金田哲（はんにゃ）;2019年;2019-08-11;NA;NA;NA;NA;NA;NA
621;8月18日;ナツカシッシュNIGHT;小沢一敬（スピードワゴン）、くっきー（野性爆弾）、ケンドーコバヤシ、バカリズム、磯山さやか、みうらうみ、青山明日香;2019年;2019-08-18;NA;NA;NA;NA;NA;NA
622;8月25日;〇〇はじめました選手権;AMEMIYA、空気階段、鬼越トマホーク、さらば青春の光、おたけ（ジャングルポケット）、宮下草薙、朝日奈央;2019年;2019-08-25;NA;NA;NA;NA;NA;NA
623;9月1日;〇〇はじめました選手権 後半戦;AMEMIYA、空気階段、鬼越トマホーク、さらば青春の光、おたけ（ジャングルポケット）、宮下草薙、朝日奈央;2019年;2019-09-01;NA;NA;NA;NA;NA;NA
623;9月1日;芸人ラジオサミット & 腐り芸人セラピー 未公開;NA;2019年;2019-09-01;NA;NA;NA;NA;NA;NA
624;9月8日;東京03飯塚に友達を作ろう;飯塚悟志（東京03）、フワちゃん、ティモンディ、真島なおみ、金田哲（はんにゃ）、朝日奈央;2019年;2019-09-08;NA;NA;NA;NA;NA;NA
625;9月15日;芸能界ストイック暗記王20;インパルス、EXIT、斉藤慎二（ジャングルポケット）、朝日奈央;2019年;2019-09-15;NA;NA;NA;NA;NA;NA
626;9月22日;芸能界ストイック暗記王20;インパルス、EXIT、ジャングルポケット、朝日奈央、眉村ちあき;2019年;2019-09-22;NA;NA;NA;NA;NA;NA
627;9月29日;お笑いを存分に語れるBAR2;飯塚悟志（東京03）、ナイツ、かまいたち、小沢一敬（スピードワゴン）、あいな;2019年;2019-09-29;20190928 神舌 ｢能够畅谈搞笑的BAR･漫才篇｣;2019-09-30-190928-69450882;神舌;/home/tc/GIT/owaraisite/content/post//2019-09-30-190928-69450882.md;69450882;<a href='/post/2019-09-30-190928-69450882'>LINK</a>
628;10月6日;マジギライ1/5;アルコ&ピース、タイムマシーン3号、あいな、椿原愛、徳田祐里、長友郁真;2019年;2019-10-06;NA;NA;NA;NA;NA;NA
629;10月13日;ゲラ女王決定戦;三四郎、スタンダップコーギー、神宮寺しし丸、野呂佳代森田聖奈、出口亜梨沙、高萩千夏（アップアップガールズ（2））、青科まき;2019年;2019-10-13;NA;NA;NA;NA;NA;NA
629;10月13日;AMEMIYAから重大発表!;AMEMIYA、朝日奈央;2019年;2019-10-13;NA;NA;NA;NA;NA;NA
630;10月20日;Truthの公式お兄ちゃんオーディション;石原由希、永井すみれ、TOMOKA、サンシャイン池崎、向井慧（パンサー）;2019年;2019-10-20;NA;NA;NA;NA;NA;NA
